x         y1        y2        y3        y4
0       100         0        90         0
80       100         1        90         1
160       100         1        90         1
240       100         1        90         2
320       100         3        90         3
400       100         2        60         4
480       100         3        90         3
560       100         3        60         4
640       100         3        60         4
720       100         3        90         3
800       100         3        60         4
880       100         3        60         5
960       100         3        60         4
1040       100         3        90         3
1120       100         3        60         4
1200        70         4        60         4
1280       100         2        90         3
1360       100         3        90         3
1440       100         3        60         4
1520       100         3        60         4
1600       100         3        90         3
1680       100         3        90         3
1760       100         3        60         4
1840        70         4        60         4
1920       100         3        90         3
2000       100         3        60         4
2080       100         3        90         3
2160       100         3        60         4
2240        70         4        90         3
2320       100         3        60         4
2400       100         3        60         4
2480        70         4        60         4
2560       100         3        90         3
2640       100         3        90         3
2720       100         3        60         4
2800        70         4        60         4
2880       100         3        60         4
2960       100         3        90         3
3040       100         3        60         4
3120       100         3        90         3
3200        70         4        60         4
3280       100         3        60         4
3360       100         3        90         3
3440        70         4        60         4
3520       100         3        90         3
3600       100         3        90         3
3680       100         3        60         4
3760       100         3        90         3
3840       100         3        60         4
3920        70         4        60         4
4000       100         3        90         3
4080       100         3        60         4
4160       100         3        90         3
4240        70         4        60         4
4320       100         3        90         3
4400       100         3        90         3
4480       100         3        60         4
4560        70         4        60         4
4640       100         3        90         3
4720       100         3        60         4
4800        70         4        90         3
4880       100         2        90         3
4960       100         3        90         3
5040        70         4        60         4
5120       100         3        90         3
5200       100         3        60         4
5280       100         3        90         3
5360       100         3        90         3
5440       100         3        60         4
5520        70         4        90         3
5600       100         3        60         4
5680       100         3        90         3
5760        70         7        60         7
5840        10        12        30        11
5920        40        10        30        10
6000        40         9        30         8
6080        40         8        60         7
6160        70         7        60         7
6240        40         8        30         9
6320        70         7        90         2
6400       100         1        90         1
6480       100         2        90         2
6560       100         1        90         2
6640       100         3        90         2
6720       100         3        60         4
6800       100         3        90         3
6880       100         3        60         4
6960        70         4        90         3
7040       100         3        60         4
7120        70         4        90         3
7200       100         3        60         4
7280       100         3        90         3
7360       100         3        60         4
7440        70         4        60         4
7520       100         3        90         3
7600       100         3        90         3
7680        70         4        60         4
7760       100         3        60         4
7840        70         4        90         3
7920       100         3        60         4
