x         y1        y2        y3        y4        y5
0         60.00      0.00      40.00     0.00     4
80        60.00      0.00      40.00     0.00     4
160       60.00      0.00      40.00     0.00     4
240       60.00      0.00      40.00     0.00     4
320       60.00      0.00      40.00     0.00     4
400       60.00      0.00      40.20     0.00     4
480       60.00      0.00      46.60     0.00     4
560       60.00      0.00      53.00     0.00     4
640       60.00      0.00      59.40     0.00     4
720       65.80      0.00      65.80     0.00     4
800       72.20      0.00      72.20     0.00     4
880       78.60      0.00      78.60     0.00     4
960       85.00      0.00      85.00     0.00     4
1040      91.40      0.00      91.40     0.00     4
1120      97.80      0.00      97.80     0.00     4
1200      104.20     0.00      104.20    0.00     4
1280      110.60     0.00      110.60    0.00     4
1360      117.00     0.00      117.00    0.00     4
1440      121.75     1.00      121.75    1.00     4
1520      126.55     1.00      126.55    1.00     4
1600      129.70     2.00      131.35    1.00     4
1680      132.90     2.00      134.50    2.00     4
1760      136.10     2.00      137.70    2.00     4
1840      137.65     3.00      140.90    2.00     4
1920      139.25     3.00      142.45    3.00     4
2000      140.85     3.00      144.05    3.00     4
2080      140.80     4.00      144.00    4.00     4
2160      140.80     4.00      144.00    4.00     4
2240      140.80     4.00      144.00    4.00     4
2320      139.15     5.00      142.35    5.00     4
2400      137.55     5.00      140.75    5.00     4
2480      135.95     5.00      139.15    5.00     4
2560      134.35     5.00      137.55    5.00     4
2640      131.10     6.00      134.30    6.00     4
2720      127.90     6.00      131.10    6.00     4
2800      124.70     6.00      127.90    6.00     4
2880      121.50     6.00      124.70    6.00     4
2960      118.30     6.00      121.50    6.00     4
3040      115.10     6.00      118.30    6.00     4
3120      111.90     6.00      115.10    6.00     4
3200      108.70     6.00      111.90    6.00     4
3280      105.50     6.00      108.70    6.00     4
3360      102.30     6.00      105.50    6.00     4
3440      100.75     5.00      102.30    6.00     4
3520      99.15      5.00      99.10     6.00     4
3600      97.55      5.00      95.90     6.00     4
3680      95.95      5.00      94.35     5.00     4
3760      94.35      5.00      91.10     6.00     4
3840      92.75      5.00      89.55     5.00     4
3920      92.80      4.00      87.95     5.00     4
4000      92.80      4.00      86.35     5.00     4
4080      92.80      4.00      84.75     5.00     4
4160      92.80      4.00      83.15     5.00     4
4240      92.80      4.00      81.55     5.00     4
4320      94.45      3.00      79.95     5.00     4
4400      96.05      3.00      78.35     5.00     4
4480      97.65      3.00      76.75     5.00     4
4560      100.90     2.00      76.80     4.00     4
4640      104.10     2.00      76.80     4.00     4
4720      107.30     2.00      76.80     4.00     4
4800      110.50     2.00      76.80     4.00     4
4880      113.70     2.00      76.80     4.00     4
4960      116.90     2.00      76.80     4.00     4
5040      121.75     1.00      76.80     4.00     4
5120      124.90     2.00      78.45     3.00     4
5200      128.10     2.00      80.05     3.00     4
5280      131.30     2.00      81.65     3.00     4
5360      134.50     2.00      83.25     3.00     4
5440      137.70     2.00      84.85     3.00     4
5520      140.90     2.00      84.80     4.00     4
5600      144.10     2.00      86.45     3.00     4
5680      147.30     2.00      86.40     4.00     4
5760      148.85     3.00      86.40     4.00     4
5840      150.45     3.00      86.40     4.00     4
5920      152.05     3.00      86.40     4.00     4
6000      153.65     3.00      86.40     4.00     4
6080      155.25     3.00      86.40     4.00     4
6160      156.85     3.00      86.40     4.00     4
6240      158.45     3.00      86.40     4.00     4
6320      158.40     4.00      86.40     4.00     4
6400      158.40     4.00      86.40     4.00     4
6480      158.40     4.00      84.75     5.00     4
6560      158.40     4.00      83.15     5.00     4
6640      158.40     4.00      81.55     5.00     4
6720      156.75     5.00      79.95     5.00     4
6800      155.15     5.00      78.35     5.00     4
6880      153.55     5.00      76.75     5.00     4
6960      151.95     5.00      75.15     5.00     4
7040      150.35     5.00      73.55     5.00     4
7120      148.75     5.00      71.95     5.00     4
7200      145.50     6.00      72.00     4.00     4
7280      142.30     6.00      72.00     4.00     4
7360      139.10     6.00      72.00     4.00     4
7440      135.90     6.00      73.65     3.00     4
7520      132.70     6.00      76.90     2.00     4
7600      131.15     5.00      80.10     2.00     4
7680      129.55     5.00      84.95     1.00     4
7760      129.60     4.00      89.75     1.00     4
7840      131.25     3.00      96.20     0.00     4
7920      134.50     2.00      102.60    0.00     4
