x         y1        y2        y3        y4        y5
0         60.00      0.00      40.00     0.00     4
80        60.00      0.00      40.00     0.00     4
160       60.00      0.00      40.00     0.00     4
240       60.00      0.00      40.00     0.00     4
320       60.00      0.00      40.00     0.00     4
400       60.00      0.00      44.80     0.00     4
480       60.00      0.00      51.20     0.00     4
560       60.00      0.00      57.60     0.00     4
640       64.00      0.00      64.00     0.00     4
720       70.40      0.00      70.40     0.00     4
800       76.80      0.00      76.80     0.00     4
880       83.20      0.00      83.20     0.00     4
960       89.60      0.00      89.60     0.00     4
1040      96.00      0.00      96.00     0.00     4
1120      102.40     0.00      102.40    0.00     4
1200      108.80     0.00      108.80    0.00     4
1280      115.20     0.00      115.20    0.00     4
1360      121.60     0.00      121.60    0.00     4
1440      125.20     1.00      125.20    1.00     4
1520      130.00     1.00      130.00    1.00     4
1600      132.00     2.00      132.00    2.00     4
1680      135.20     2.00      135.20    2.00     4
1760      135.60     3.00      138.40    2.00     4
1840      137.20     3.00      138.80    3.00     4
1920      138.80     3.00      140.40    3.00     4
2000      137.60     4.00      139.20    4.00     4
2080      137.60     4.00      139.20    4.00     4
2160      137.60     4.00      139.20    4.00     4
2240      134.80     5.00      136.40    5.00     4
2320      133.20     5.00      134.80    5.00     4
2400      131.60     5.00      130.40    6.00     4
2480      130.00     5.00      130.00    5.00     4
2560      128.40     5.00      125.60    6.00     4
2640      126.80     5.00      122.40    6.00     4
2720      122.40     6.00      119.20    6.00     4
2800      122.00     5.00      116.00    6.00     4
2880      120.40     5.00      110.00    7.00     4
2960      118.80     5.00      108.00    6.00     4
3040      117.20     5.00      102.00    7.00     4
3120      118.40     4.00      100.00    6.00     4
3200      118.40     4.00      96.80     6.00     4
3280      118.40     4.00      93.60     6.00     4
3360      118.40     4.00      93.20     5.00     4
3440      118.40     4.00      91.60     5.00     4
3520      121.20     3.00      92.80     4.00     4
3600      122.80     3.00      92.80     4.00     4
3680      127.20     2.00      95.60     3.00     4
3760      133.20     1.00      97.20     3.00     4
3840      140.80     0.00      98.80     3.00     4
3920      144.40     1.00      100.40    3.00     4
4000      149.20     1.00      102.00    3.00     4
4080      154.00     1.00      103.60    3.00     4
4160      158.80     1.00      105.20    3.00     4
4240      160.80     2.00      106.80    3.00     4
4320      164.00     2.00      108.40    3.00     4
4400      167.20     2.00      107.20    4.00     4
4480      170.40     2.00      107.20    4.00     4
4560      170.80     3.00      107.20    4.00     4
4640      172.40     3.00      107.20    4.00     4
4720      174.00     3.00      107.20    4.00     4
4800      172.80     4.00      104.40    5.00     4
4880      172.80     4.00      102.80    5.00     4
4960      172.80     4.00      101.20    5.00     4
5040      172.80     4.00      99.60     5.00     4
5120      172.80     4.00      98.00     5.00     4
5200      172.80     4.00      96.40     5.00     4
5280      170.00     5.00      94.80     5.00     4
5360      171.20     4.00      90.40     6.00     4
5440      168.40     5.00      90.00     5.00     4
5520      166.80     5.00      85.60     6.00     4
5600      165.20     5.00      82.40     6.00     4
5680      163.60     5.00      79.20     6.00     4
5760      162.00     5.00      76.00     6.00     4
5840      160.40     5.00      72.80     6.00     4
5920      158.80     5.00      72.40     5.00     4
6000      157.20     5.00      70.80     5.00     4
6080      155.60     5.00      69.20     5.00     4
6160      154.00     5.00      67.60     5.00     4
6240      152.40     5.00      66.00     5.00     4
6320      150.80     5.00      64.40     5.00     4
6400      149.20     5.00      62.80     5.00     4
6480      147.60     5.00      61.20     5.00     4
6560      146.00     5.00      59.60     5.00     4
6640      144.40     5.00      58.00     5.00     4
6720      142.80     5.00      56.40     5.00     4
6800      141.20     5.00      57.60     4.00     4
6880      139.60     5.00      57.60     4.00     4
6960      135.20     6.00      57.60     4.00     4
7040      132.00     6.00      60.40     3.00     4
7120      128.80     6.00      62.00     3.00     4
7200      125.60     6.00      66.40     2.00     4
7280      125.20     5.00      72.40     1.00     4
7360      123.60     5.00      80.00     0.00     4
7440      124.80     4.00      86.40     0.00     4
7520      127.60     3.00      92.80     0.00     4
7600      132.00     2.00      99.20     0.00     4
7680      135.20     2.00      105.60    0.00     4
7760      138.40     2.00      112.00    0.00     4
7840      141.60     2.00      118.40    0.00     4
7920      144.80     2.00      124.80    0.00     4
