x         y1        y2        y3        y4
0         127.80     0.00      124.80    0.00
80        134.20     0.00      131.20    2.00
160       140.60     2.00      137.60    3.00
240       116.20     4.00      113.20    6.00
320       121.00     4.00      87.20     8.00
400       125.80     5.00      90.40     9.00
480       130.60     6.00      93.60     10.00
560       135.40     7.00      96.80     11.00
640       140.20     7.00      100.00    11.00
720       114.20     9.00      72.40     13.00
800       117.40     9.00      74.00     13.00
880       120.60     9.00      75.60     13.00
960       123.80     10.00     77.20     14.00
1040      127.00     9.00      78.80     14.00
1120      130.20     10.00     80.40     14.00
1200      133.40     11.00     82.00     15.00
1280      136.60     11.00     52.80     16.00
1360      109.00     12.00     83.60     15.00
1440      141.40     11.00     54.40     16.00
1520      113.80     12.00     54.40     16.00
1600      115.40     12.00     54.40     16.00
1680      117.00     12.00     85.20     15.00
1760      118.60     12.00     56.00     17.00
1840      120.20     12.00     56.00     16.00
1920      121.80     12.00     56.00     16.00
2000      123.40     12.00     86.80     15.00
2080      125.00     12.00     57.60     16.00
2160      126.60     12.00     57.60     17.00
2240      128.20     13.00     57.60     16.00
2320      129.80     12.00     57.60     16.00
2400      131.40     12.00     57.60     16.00
2480      133.00     13.00     57.60     16.00
2560      134.60     12.00     57.60     16.00
2640      136.20     13.00     57.60     16.00
2720      137.80     13.00     88.40     15.00
2800      139.40     14.00     59.20     17.00
2880      141.00     14.00     59.20     16.00
2960      142.60     14.00     59.20     17.00
3040      144.20     15.00     59.20     16.00
3120      145.80     15.00     59.20     17.00
3200      116.60     16.00     59.20     16.00
3280      116.60     16.00     59.20     16.00
3360      116.60     16.00     90.00     15.00
3440      116.60     16.00     60.80     16.00
3520      116.60     17.00     91.60     15.00
3600      116.60     18.00     62.40     16.00
3680      116.60     18.00     93.20     14.00
3760      116.60     18.00     94.80     15.00
3840      116.60     19.00     96.40     14.00
3920      85.80      20.00     98.00     14.00
4000      84.20      20.00     99.60     13.00
4080      82.60      20.00     101.20    12.00
4160      81.00      21.00     133.60    11.00
4240      79.40      20.00     106.00    12.00
4320      77.80      20.00     138.40    10.00
4400      107.00     19.00     141.60    10.00
4480      107.00     19.00     144.80    10.00
4560      107.00     18.00     148.00    11.00
4640      107.00     18.00     151.20    11.00
4720      107.00     16.00     154.40    11.00
4800      137.80     15.00     157.60    11.00
4880      139.40     15.00     160.80    10.00
4960      141.00     13.00     164.00    10.00
5040      142.60     14.00     167.20    9.00
5120      144.20     14.00     170.40    8.00
5200      145.80     14.00     173.60    11.00
5280      147.40     13.00     176.80    9.00
5360      149.00     14.00     180.00    11.00
5440      150.60     14.00     183.20    11.00
5520      152.20     14.00     155.60    12.00
5600      153.80     14.00     188.00    10.00
5680      155.40     14.00     191.20    11.00
5760      157.00     15.00     194.40    11.00
5840      158.60     14.00     166.80    12.00
5920      160.20     15.00     168.40    13.00
6000      161.80     15.00     200.80    11.00
6080      163.40     15.00     173.20    12.00
6160      134.20     16.00     174.80    15.00
6240      165.00     14.00     176.40    15.00
6320      166.60     15.00     178.00    15.00
6400      168.20     13.00     179.60    14.00
6480      169.80     14.00     181.20    14.00
6560      171.40     13.00     182.80    12.00
6640      173.00     13.00     184.40    12.00
6720      174.60     14.00     216.80    11.00
6800      176.20     13.00     189.20    13.00
6880      177.80     15.00     190.80    15.00
6960      179.40     15.00     192.40    15.00
7040      150.20     16.00     163.20    16.00
7120      150.20     16.00     163.20    16.00
7200      181.00     14.00     194.00    13.00
7280      182.60     14.00     195.60    13.00
7360      184.20     15.00     197.20    15.00
7440      185.80     14.00     198.80    15.00
7520      187.40     14.00     200.40    15.00
7600      189.00     15.00     171.20    18.00
7680      190.60     15.00     171.20    17.00
7760      192.20     14.00     171.20    16.00
7840      193.80     15.00     202.00    14.00
7920      195.40     13.00     172.80    16.00
