x         y1        y2        y3        y4
0         255.00     0.00      255.00    0.00
80        255.00     4.00      255.00    7.00
160       255.00     11.00     255.00    14.00
240       255.00     16.00     255.00    19.00
320       255.00     22.00     255.00    22.00
400       255.00     26.00     255.00    25.00
480       255.00     30.00     255.00    28.00
560       255.00     31.00     150.00    31.00
640       0.00       35.00     0.00      33.00
720       0.00       32.00     0.00      30.00
800       0.00       29.00     0.00      28.00
880       0.00       27.00     0.00      23.00
960       0.00       25.00     0.00      21.00
1040      0.00       23.00     0.00      16.00
1120      0.00       20.00     0.00      13.00
1200      0.00       17.00     0.00      8.00
1280      0.00       15.00     0.00      5.00
1360      0.00       12.00     0.00      1.00
1440      0.00       8.00      120.00    0.00
1520      0.00       5.00      255.00    1.00
1600      0.00       3.00      255.00    5.00
1680      0.00       1.00      255.00    11.00
1760      255.00     1.00      255.00    13.00
1840      255.00     8.00      255.00    17.00
1920      255.00     20.00     255.00    20.00
2000      199.96     33.00     255.00    26.00
2080      0.00       37.00     255.00    29.00
2160      0.00       27.00     255.00    27.00
2240      0.00       12.00     255.00    28.00
2320      0.00       1.00      0.00      29.00
2400      120.00     3.00      0.00      17.00
2480      255.00     2.00      10.04     6.00
2560      255.00     3.00      255.00    3.00
2640      255.00     9.00      255.00    4.00
2720      255.00     10.00     255.00    10.00
2800      255.00     15.00     255.00    16.00
2880      255.00     21.00     255.00    20.00
2960      255.00     28.00     255.00    25.00
3040      255.00     34.00     255.00    29.00
3120      255.00     39.00     255.00    30.00
3200      0.00       43.00     0.00      32.00
3280      0.00       38.00     0.00      20.00
3360      0.00       18.00     0.00      9.00
3440      0.00       2.00      120.02    2.00
3520      0.00       0.00      255.00    0.00
3600      255.00     0.00      255.00    3.00
3680      255.00     3.00      255.00    6.00
3760      255.00     8.00      255.00    12.00
3840      255.00     13.00     255.00    17.00
3920      255.00     22.00     255.00    21.00
4000      255.00     31.00     255.00    25.00
4080      255.00     39.00     255.00    25.00
4160      0.00       42.00     255.00    25.00
4240      0.00       36.00     255.00    27.00
4320      0.00       18.00     255.00    31.00
4400      0.00       3.00      0.00      31.00
4480      0.00       3.00      0.00      19.00
4560      120.00     3.00      60.03     11.00
4640      255.00     1.00      255.00    8.00
4720      255.00     4.00      255.00    10.00
4800      255.00     11.00     255.00    14.00
4880      255.00     18.00     255.00    17.00
4960      255.00     29.00     255.00    21.00
5040      255.00     37.00     255.00    26.00
5120      0.00       39.00     39.97     33.00
5200      0.00       31.00     0.00      21.00
5280      0.00       9.00      10.05     6.00
5360      0.00       2.00      255.00    2.00
5440      255.00     1.00      255.00    6.00
5520      255.00     4.00      255.00    10.00
5600      255.00     8.00      255.00    13.00
5680      255.00     16.00     255.00    18.00
5760      255.00     26.00     255.00    22.00
5840      255.00     35.00     255.00    24.00
5920      0.00       40.00     255.00    29.00
6000      0.00       33.00     255.00    29.00
6080      0.00       17.00     0.00      29.00
6160      0.00       3.00      0.00      19.00
6240      9.99       5.00      170.04    6.00
6320      255.00     2.00      255.00    5.00
6400      255.00     4.00      255.00    9.00
6480      255.00     9.00      255.00    13.00
6560      255.00     16.00     255.00    17.00
6640      255.00     24.00     255.00    23.00
6720      255.00     33.00     255.00    30.00
6800      89.99      38.00     255.00    30.00
6880      0.00       35.00     0.00      29.00
6960      0.00       22.00     0.00      19.00
7040      0.00       4.00      10.04     4.00
7120      0.00       3.00      255.00    2.00
7200      255.00     2.00      255.00    7.00
7280      255.00     2.00      255.00    11.00
7360      255.00     7.00      255.00    12.00
7440      255.00     12.00     255.00    17.00
7520      255.00     19.00     255.00    20.00
7600      255.00     29.00     255.00    24.00
7680      255.00     37.00     255.00    25.00
7760      139.99     41.00     255.00    29.00
7840      0.00       37.00     39.99     32.00
7920      0.00       24.00     0.00      21.00
