x         y1        y2        y3        y4
0         68.02      0.00      68.02     0.00
80        132.00     0.00      132.00    0.00
160       196.00     1.00      196.00    2.00
240       255.00     3.00      246.99    5.00
320       255.00     8.00      255.00    10.00
400       255.00     12.00     255.00    17.00
480       255.00     19.00     255.00    22.00
560       255.00     24.00     245.99    27.00
640       248.99     30.00     200.99    29.00
720       187.99     34.00     153.00    30.00
800       124.00     34.00     105.00    29.00
880       60.00      32.00     70.01     25.00
960       40.00      29.00     64.02     18.00
1040      40.00      18.00     90.02     11.00
1120      52.05      2.00      135.01    5.00
1200      116.00     0.00      183.00    5.00
1280      180.00     0.00      231.00    6.00
1360      244.00     3.00      255.00    10.00
1440      255.00     6.00      255.00    15.00
1520      255.00     13.00     255.00    20.00
1600      255.00     21.00     232.98    29.00
1680      255.00     29.00     198.01    27.00
1760      203.99     35.00     152.99    28.00
1840      126.99     37.00     131.02    23.00
1920      60.01      33.00     128.01    18.00
2000      40.00      25.00     141.01    15.00
2080      40.00      12.00     157.00    13.00
2160      84.04      1.00      186.01    10.00
2240      148.00     0.00      218.00    11.00
2320      212.00     0.00      236.99    12.00
2400      255.00     1.00      239.99    16.00
2480      255.00     9.00      240.00    17.00
2560      255.00     21.00     226.99    20.00
2640      255.00     30.00     211.00    20.00
2720      190.98     38.00     208.01    19.00
2800      124.01     35.00     208.00    17.00
2880      73.01      29.00     221.01    14.00
2960      64.04      16.00     237.00    13.00
3040      116.05     3.00      253.00    13.00
3120      180.00     0.00      255.00    14.00
3200      244.00     1.00      255.00    16.00
3280      255.00     8.00      255.00    17.00
3360      255.00     19.00     255.00    20.00
3440      248.96     28.00     216.98    28.00
3520      201.00     30.00     182.01    24.00
3600      153.00     28.00     163.01    21.00
3680      131.02     22.00     147.00    20.00
3760      141.02     14.00     144.01    16.00
3840      183.02     7.00      157.01    13.00
3920      231.00     4.00      173.00    15.00
4000      255.00     7.00      175.99    16.00
4080      255.00     12.00     176.00    18.00
4160      255.00     20.00     176.00    18.00
4240      255.00     26.00     176.00    19.00
4320      203.98     32.00     162.99    20.00
4400      153.01     31.00     160.01    19.00
4480      105.00     28.00     160.00    19.00
4560      83.02      22.00     160.00    18.00
4640      93.02      14.00     160.00    18.00
4720      135.02     7.00      160.00    18.00
4800      183.00     6.00      160.00    18.00
4880      217.99     9.00      160.00    17.00
4960      236.99     15.00     160.00    17.00
5040      226.98     20.00     173.01    15.00
5120      197.99     25.00     175.99    16.00
5200      166.00     24.00     189.01    15.00
5280      147.01     21.00     191.99    16.00
5360      157.02     15.00     192.00    17.00
5440      173.00     13.00     192.00    17.00
5520      189.00     13.00     192.00    19.00
5600      191.99     16.00     192.00    19.00
5680      192.00     18.00     178.99    21.00
5760      178.99     20.00     149.99    26.00
5840      163.00     20.00     131.01    20.00
5920      160.01     16.00     128.01    16.00
6000      173.01     12.00     141.01    15.00
6080      202.01     9.00      157.00    15.00
6160      234.00     8.00      159.99    16.00
6240      255.00     9.00      160.00    17.00
6320      255.00     13.00     160.00    18.00
6400      255.00     18.00     160.00    18.00
6480      255.00     22.00     146.99    20.00
6560      245.99     26.00     131.00    20.00
6640      200.99     28.00     115.00    21.00
6720      166.01     26.00     99.00     20.00
6800      147.01     22.00     83.00     20.00
6880      144.01     17.00     67.00     20.00
6960      157.01     13.00     64.01     19.00
7040      173.00     12.00     64.00     18.00
7120      189.00     12.00     64.00     18.00
7200      205.00     13.00     64.00     17.00
7280      221.00     13.00     64.00     16.00
7360      237.00     15.00     64.00     17.00
7440      239.99     17.00     64.00     17.00
7520      226.99     20.00     64.00     16.00
7600      211.00     22.00     64.00     17.00
7680      181.99     25.00     77.01     15.00
7760      150.00     26.00     93.00     14.00
7840      118.00     26.00     109.00    12.00
7920      99.01      23.00     125.00    12.00
