x         y1        y2        y3        y4
0         58.40      0.00      58.40     0.00
80        109.60     0.00      109.60    0.00
160       160.00     0.00      160.80    1.00
240       160.00     2.00      212.00    2.00
320       160.00     4.00      240.40    9.00
400       160.00     6.00      254.60    12.00
480       160.00     10.00     255.00    19.00
560       160.00     12.00     233.20    24.00
640       160.00     15.00     207.60    26.00
720       160.00     17.00     182.00    27.00
800       160.00     22.00     145.00    29.00
880       160.00     26.00     118.00    27.00
960       160.00     28.00     103.80    22.00
1040      160.00     25.00     125.20    11.00
1120      160.00     22.00     150.80    8.00
1200      160.00     17.00     176.40    8.00
1280      160.00     13.00     202.00    9.00
1360      160.00     8.00      216.20    12.00
1440      160.00     6.00      229.00    15.00
1520      160.00     7.00      230.40    19.00
1600      160.00     10.00     219.00    22.00
1680      160.00     12.00     194.80    24.00
1760      160.00     15.00     157.80    29.00
1840      160.00     17.00     130.80    27.00
1920      160.00     19.00     128.00    18.00
2000      160.00     19.00     139.40    14.00
2080      160.00     17.00     152.20    12.00
2160      160.00     14.00     176.40    10.00
2240      160.00     9.00      202.00    11.00
2320      160.00     5.00      216.20    13.00
2400      160.00     3.00      217.60    16.00
2480      160.00     5.00      217.60    19.00
2560      160.00     7.00      206.20    20.00
2640      160.00     10.00     193.40    21.00
2720      160.00     15.00     180.60    21.00
2800      160.00     17.00     167.80    22.00
2880      160.00     17.00     166.40    19.00
2960      160.00     14.00     177.80    13.00
3040      160.00     13.00     202.00    11.00
3120      160.00     9.00      216.20    13.00
3200      160.00     7.00      229.00    14.00
3280      160.00     6.00      230.40    17.00
3360      160.00     6.00      219.00    22.00
3440      160.00     7.00      206.20    20.00
3520      160.00     10.00     204.80    18.00
3600      160.00     13.00     193.40    20.00
3680      160.00     14.00     169.20    24.00
3760      160.00     13.00     155.00    21.00
3840      160.00     11.00     165.00    14.00
3920      160.00     10.00     177.80    13.00
4000      160.00     9.00      190.60    12.00
4080      160.00     6.00      203.40    14.00
4160      160.00     4.00      216.20    15.00
4240      160.00     4.00      217.60    17.00
4320      160.00     6.00      217.60    18.00
4400      160.00     10.00     217.60    19.00
4480      160.00     13.00     217.60    18.00
4560      160.00     16.00     217.60    19.00
4640      160.00     16.00     206.20    23.00
4720      160.00     13.00     182.00    24.00
4800      160.00     9.00      179.20    18.00
4880      160.00     7.00      179.20    19.00
4960      160.00     3.00      179.20    17.00
5040      160.00     1.00      190.60    15.00
5120      160.00     1.00      192.00    16.00
5200      160.00     2.00      192.00    17.00
5280      160.00     5.00      192.00    18.00
5360      160.00     7.00      192.00    19.00
5440      160.00     11.00     192.00    18.00
5520      160.00     14.00     192.00    17.00
5600      160.00     16.00     192.00    17.00
5680      160.00     16.00     203.40    15.00
5760      160.00     15.00     216.20    14.00
5840      160.00     14.00     229.00    14.00
5920      160.00     13.00     241.80    14.00
6000      160.00     11.00     254.60    15.00
6080      160.00     11.00     255.00    17.00
6160      160.00     11.00     255.00    17.00
6240      160.00     13.00     244.60    20.00
6320      160.00     11.00     220.40    26.00
6400      160.00     9.00      194.80    25.00
6480      160.00     8.00      180.60    23.00
6560      160.00     5.00      179.20    18.00
6640      160.00     3.00      190.60    15.00
6720      160.00     0.00      192.00    19.00
6800      160.00     0.00      192.00    19.00
6880      160.00     2.00      192.00    17.00
6960      160.00     1.00      192.00    17.00
7040      160.00     3.00      192.00    18.00
7120      160.00     7.00      192.00    17.00
7200      160.00     10.00     192.00    19.00
7280      160.00     11.00     180.60    22.00
7360      160.00     11.00     179.20    17.00
7440      160.00     8.00      167.80    21.00
7520      160.00     8.00      166.40    19.00
7600      160.00     5.00      166.40    17.00
7680      160.00     3.00      177.80    14.00
7760      160.00     2.00      190.60    15.00
7840      160.00     1.00      192.00    16.00
7920      160.00     3.00      192.00    17.00
