x         y1        y2        y3        y4
0         134       0         134       0
80        121       7         121       7
160       38        17        38        19
240       5         20        5         21
320       33        16        33        18
400       66        12        66        13
480       70        13        70        15
560       75        15        43        16
640       47        18        43        17
720       48        18        43        16
800       48        17        75        15
880       48        16        47        16
960       80        15        48        18
1040      52        17        48        17
1120      52        19        48        16
1200      52        17        48        16
1280      52        17        48        16
1360      52        17        80        15
1440      52        17        52        18
1520      52        17        52        19
1600      52        16        52        18
1680      52        16        52        18
1760      52        16        52        18
1840      52        16        52        18
1920      52        16        52        18
2000      52        16        52        17
2080      52        16        52        18
2160      52        16        52        17
2240      52        16        52        17
2320      85        15        52        17
2400      57        18        52        18
2480      25        20        52        17
2560      52        17        52        17
2640      52        16        52        17
2720      52        16        52        18
2800      52        16        52        17
2880      85        15        52        17
2960      57        18        52        17
3040      25        20        52        18
3120      52        18        52        17
3200      85        15        52        17
3280      57        18        52        17
3360      25        20        52        18
3440      52        18        52        17
3520      85        15        52        17
3600      57        18        52        18
3680      25        20        52        17
3760      52        18        52        17
3840      85        15        52        18
3920      57        18        52        17
4000      25        20        52        18
4080      52        18        52        17
4160      52        16        52        18
4240      52        16        52        17
4320      52        16        52        18
4400      52        16        52        17
4480      85        15        52        17
4560      57        18        52        18
4640      25        20        52        17
4720      52        18        52        18
4800      52        16        52        17
4880      52        16        52        17
4960      52        16        52        18
5040      52        16        52        17
5120      52        16        52        18
5200      52        16        52        17
5280      52        16        52        18
5360      52        16        52        17
5440      52        16        52        18
5520      52        16        52        17
5600      52        16        52        18
5680      52        16        52        17
5760      52        16        52        18
5840      52        16        52        17
5920      52        16        52        18
6000      52        16        52        17
6080      52        16        52        17
6160      52        16        52        18
6240      52        16        52        17
6320      52        16        52        18
6400      52        16        52        17
6480      52        16        52        18
6560      52        16        52        17
6640      52        16        52        18
6720      52        16        52        17
6800      52        16        52        18
6880      52        16        52        17
6960      52        16        52        18
7040      52        16        52        18
7120      52        17        52        17
7200      52        16        52        18
7280      52        16        52        17
7360      52        16        52        18
7440      52        16        52        17
7520      52        16        52        18
7600      52        16        52        17
7680      52        16        52        18
7760      52        16        52        17
7840      52        16        52        18
7920      52        16        52        18
8000      52        16        52        17
8080      52        16        52        18
8160      52        16        52        17
8240      52        16        52        18
8320      52        16        52        17
8400      52        16        52        18
8480      52        17        52        18
8560      52        16        52        17
8640      52        16        52        18
8720      52        16        52        17
8800      52        16        52        18
8880      52        16        52        17
8960      52        16        52        18
9040      52        16        52        17
9120      52        16        52        18
9200      52        16        52        18
9280      52        16        52        17
9360      52        16        52        18
9440      52        16        52        18
9520      52        16        52        17
9600      52        17        52        18
9680      52        16        52        18
9760      52        16        52        17
9840      52        16        52        18
9920      52        16        52        18
10000     52        16        52        17
10080     52        16        52        18
10160     52        16        52        18
10240     52        16        52        17
10320     52        16        52        18
10400     52        16        52        18
10480     52        16        52        18
10560     52        16        52        17
10640     52        16        52        18
10720     52        16        52        18
10800     52        16        52        17
10880     52        16        52        18
10960     52        17        52        18
11040     52        16        52        18
11120     52        16        52        17
11200     52        16        52        18
11280     52        16        52        18
11360     52        16        52        18
11440     52        16        52        17
11520     52        16        52        18
11600     52        16        52        18
11680     52        16        52        17
11760     52        16        52        18
11840     52        16        52        18
11920     52        17        52        18
12000     52        16        52        17
12080     52        16        52        18
12160     52        16        52        18
12240     52        16        52        18
12320     52        16        52        17
12400     52        16        52        18
12480     52        16        52        18
12560     52        17        52        18
12640     52        16        52        18
12720     52        16        52        18
12800     52        16        52        17
12880     52        16        52        18
12960     52        16        52        18
13040     52        17        52        18
13120     52        16        52        18
13200     52        16        52        18
13280     52        16        52        18
13360     52        16        52        18
13440     52        16        52        17
13520     52        17        52        18
13600     52        16        52        18
13680     52        16        52        18
13760     52        16        52        18
13840     52        16        52        18
13920     52        17        52        18
14000     52        16        52        18
14080     52        16        52        18
14160     52        16        52        18
14240     52        16        52        18
14320     52        17        52        18
14400     52        16        52        18
14480     52        16        52        18
14560     52        16        52        18
14640     52        16        52        18
14720     52        16        52        18
14800     52        17        52        18
14880     52        16        52        18
14960     52        16        52        18
15040     52        16        52        18
15120     52        16        52        18
15200     52        17        52        19
15280     52        16        52        18
15360     52        16        52        18
15440     52        16        52        18
15520     52        16        52        18
15600     52        16        52        18
15680     52        17        52        18
15760     52        16        52        18
15840     52        16        52        18
15920     52        16        52        18
16000     52        16        52        18
16080     52        16        52        18
16160     52        17        52        18
16240     52        16        52        18
16320     52        16        52        18
16400     52        16        52        18
16480     52        16        52        18
16560     52        17        52        18
16640     52        16        52        18
16720     52        16        52        18
16800     52        16        52        19
16880     52        16        52        18
16960     52        16        52        18
17040     52        16        52        18
17120     52        17        52        18
17200     52        16        52        18
17280     52        16        52        18
17360     52        16        52        18
17440     52        16        52        18
17520     52        16        52        18
17600     52        17        52        18
17680     52        16        52        18
17760     52        16        52        18
17840     52        16        52        18
17920     52        16        52        18
18000     52        16        52        18
18080     52        17        52        18
18160     52        16        52        18
18240     52        16        52        18
18320     52        16        52        18
18400     52        16        52        18
18480     52        16        52        18
18560     52        16        52        18
18640     52        17        52        18
18720     52        16        52        19
18800     52        16        52        18
18880     52        16        52        18
18960     52        16        52        18
19040     52        17        52        18
19120     52        16        52        18
19200     52        16        52        18
19280     52        16        52        18
19360     52        16        52        18
19440     52        16        52        18
19520     52        16        52        18
19600     52        17        52        18
19680     52        16        52        18
19760     52        16        52        18
19840     52        16        52        18
19920     52        16        52        18
