x         y1        y2        y3        y4
0         134       0         134       0
80        121       6         121       7
160       38        18        38        19
240       6         20        6         21
320       66        15        33        18
400       70        15        66        13
480       43        16        70        14
560       43        17        43        17
640       75        15        43        17
720       48        17        75        15
800       48        17        48        17
880       48        16        48        18
960       48        16        48        17
1040      80        15        48        17
1120      52        17        48        16
1200      52        18        48        16
1280      52        17        80        15
1360      52        17        52        17
1440      52        17        52        19
1520      52        17        52        18
1600      52        16        52        18
1680      52        16        52        17
1760      52        16        52        18
1840      52        17        52        17
1920      85        15        52        17
2000      57        18        52        17
2080      25        20        52        17
2160      52        17        52        17
2240      52        16        52        17
2320      52        16        52        17
2400      85        15        52        17
2480      57        18        52        17
2560      57        19        52        17
2640      25        20        52        16
2720      52        17        52        17
2800      52        16        52        17
2880      85        15        52        17
2960      57        18        52        17
3040      57        19        52        16
3120      57        19        52        17
3200      25        20        52        17
3280      52        17        52        17
3360      85        15        52        17
3440      57        18        52        17
3520      57        19        52        17
3600      57        19        52        16
3680      25        20        52        17
3760      52        17        52        17
3840      52        16        52        17
3920      85        15        52        17
4000      57        18        52        17
4080      57        19        52        17
4160      57        19        52        16
4240      25        20        52        17
4320      52        17        52        17
4400      52        16        52        17
4480      85        15        52        17
4560      57        18        52        17
4640      57        19        52        17
4720      57        19        52        17
4800      25        20        52        17
4880      52        17        52        17
4960      52        16        52        17
5040      85        15        52        17
5120      57        18        52        17
5200      57        19        52        17
5280      25        20        52        17
5360      52        17        52        17
5440      52        16        52        17
5520      52        16        52        17
5600      85        15        52        17
5680      57        18        52        18
5760      25        20        52        17
5840      52        18        52        17
5920      85        15        52        17
6000      57        18        52        17
6080      25        20        52        17
6160      52        18        52        17
6240      85        15        52        18
6320      57        18        52        17
6400      25        20        52        17
6480      52        18        52        17
6560      52        16        52        18
6640      52        16        52        17
6720      52        16        52        17
6800      52        16        52        17
6880      52        16        52        18
6960      52        16        52        17
7040      85        15        52        17
7120      57        18        52        17
7200      25        20        52        18
7280      52        18        52        17
7360      52        16        52        17
7440      52        16        52        18
7520      52        16        52        17
7600      52        16        52        17
7680      52        16        52        18
7760      52        16        52        17
7840      52        16        52        17
7920      52        16        52        18
8000      52        16        52        17
8080      52        16        52        17
8160      52        16        52        17
8240      52        16        52        18
8320      85        15        52        17
8400      57        18        52        17
8480      25        20        52        18
8560      52        18        52        17
8640      52        16        52        18
8720      52        16        52        17
8800      52        16        52        17
8880      52        16        52        18
8960      52        16        52        17
9040      52        16        52        17
9120      52        16        52        18
9200      52        16        52        17
9280      52        16        52        17
9360      52        17        52        18
9440      52        16        52        17
9520      52        16        52        18
9600      52        16        52        17
9680      52        16        52        17
9760      52        16        52        18
9840      52        16        52        17
9920      52        16        52        17
10000     52        17        52        18
10080     52        16        52        17
10160     52        16        52        18
10240     52        16        52        17
10320     52        16        52        18
10400     52        16        52        17
10480     52        17        52        18
10560     52        16        52        17
10640     52        16        52        18
10720     52        16        52        17
10800     52        16        52        17
10880     52        17        52        18
10960     52        16        52        17
11040     52        16        52        18
11120     52        16        52        17
11200     52        16        52        18
11280     52        17        52        17
11360     52        16        52        17
11440     52        16        52        18
11520     52        16        52        18
11600     52        17        52        17
11680     52        16        52        17
11760     52        16        52        18
11840     52        16        52        17
11920     52        17        52        18
12000     52        16        52        17
12080     52        16        52        18
12160     52        17        52        17
12240     52        16        52        18
12320     52        16        52        17
12400     52        16        52        18
12480     52        17        52        17
12560     52        16        52        18
12640     52        16        52        17
12720     52        16        52        18
12800     52        17        52        17
12880     52        16        52        18
12960     52        16        52        17
13040     52        16        52        18
13120     52        17        52        18
13200     52        16        52        17
13280     52        16        52        18
13360     52        16        52        17
13440     52        17        52        18
13520     52        16        52        17
13600     52        16        52        18
13680     52        16        52        17
13760     52        16        52        18
13840     52        17        52        17
13920     52        16        52        18
14000     52        16        52        18
14080     52        16        52        17
14160     52        16        52        18
14240     52        16        52        17
14320     52        17        52        18
14400     52        16        52        17
14480     52        16        52        18
14560     52        16        52        17
14640     52        16        52        18
14720     52        17        52        18
14800     52        16        52        17
14880     52        16        52        18
14960     52        16        52        17
15040     52        16        52        18
15120     52        16        52        17
15200     52        17        52        18
15280     52        16        52        18
15360     52        16        52        17
15440     52        16        52        18
15520     52        16        52        17
15600     52        16        52        18
15680     52        17        52        18
15760     52        16        52        17
15840     52        16        52        18
15920     52        16        52        17
16000     52        16        52        18
16080     52        16        52        17
16160     52        17        52        18
16240     52        16        52        18
16320     52        16        52        17
16400     52        16        52        18
16480     52        16        52        17
16560     52        16        52        18
16640     52        16        52        18
16720     52        16        52        18
16800     52        17        52        17
16880     52        16        52        18
16960     52        16        52        18
17040     52        16        52        18
17120     52        16        52        17
17200     52        16        52        18
17280     52        16        52        18
17360     52        16        52        18
17440     52        17        52        17
17520     52        16        52        18
17600     52        16        52        18
17680     52        16        52        18
17760     52        16        52        17
17840     52        16        52        18
17920     52        16        52        18
18000     52        16        52        18
18080     52        17        52        17
18160     52        16        52        18
18240     52        16        52        18
18320     52        16        52        17
18400     52        16        52        18
18480     52        16        52        18
18560     52        16        52        17
18640     52        16        52        18
18720     52        16        52        18
18800     52        17        52        17
18880     52        16        52        18
18960     52        16        52        18
19040     52        16        52        17
19120     52        16        52        18
19200     52        16        52        17
19280     52        16        52        18
19360     52        16        52        18
19440     52        17        52        17
19520     52        16        52        18
19600     52        16        52        17
19680     52        16        52        18
19760     52        16        52        18
19840     52        16        52        17
19920     52        16        52        18
