x         y1        y2        y3        y4
0         61        0         61        0
80        63        1         63        1
160       64        1         64        1
240       36        2         36        3
320       36        3         6         4
400       37        3         36        2
480       38        3         37        3
560       39        3         38        2
640       40        3         39        3
720       40        2         40        2
800       41        3         40        3
880       42        3         41        3
960       43        3         42        3
1040      44        3         43        3
1120      14        4         13        4
1200      44        3         44        3
1280      45        2         44        3
1360      46        3         45        3
1440      47        3         46        3
1520      17        4         16        4
1600      48        3         47        3
1680      48        2         48        3
1760      19        4         48        3
1840      49        3         19        4
1920      50        2         19        4
2000      20        4         49        3
2080      51        3         50        3
2160      52        3         51        3
2240      52        3         21        4
2320      23        4         21        4
2400      53        3         52        3
2480      24        4         52        3
2560      54        3         23        4
2640      55        3         53        3
2720      25        4         24        4
2800      25        4         24        4
2880      56        3         54        2
2960      26        4         24        4
3040      56        3         55        3
3120      57        3         56        3
3200      28        4         26        4
3280      28        4         26        4
3360      58        3         56        3
3440      28        4         27        4
3520      59        3         27        4
3600      29        4         57        3
3680      29        4         58        3
3760      60        3         28        5
3840      30        4         28        4
3920      60        3         28        4
4000      31        4         59        3
4080      31        4         29        4
4160      31        4         29        4
4240      61        3         60        3
4320      62        3         30        4
4400      32        5         30        4
4480      32        4         60        3
4560      32        4         31        4
4640      32        4         31        4
4720      63        3         31        4
4800      64        3         31        4
4880      34        5         61        3
4960      34        4         62        3
5040      34        5         32        5
5120      34        4         32        4
5200      64        3         32        5
5280      35        4         32        4
5360      35        4         63        3
5440      35        4         33        4
5520      35        4         33        5
5600      35        4         33        4
5680      65        3         33        4
5760      36        4         33        4
5840      36        4         64        3
5920      66        3         34        4
6000      36        5         34        4
6080      36        4         34        4
6160      36        4         34        4
6240      36        4         34        4
6320      36        4         64        3
6400      67        3         35        4
6480      37        4         35        4
6560      37        5         35        4
6640      37        4         35        4
6720      37        4         35        4
6800      37        4         35        4
6880      68        3         65        3
6960      38        4         36        4
7040      38        5         36        4
7120      38        4         36        4
7200      38        4         36        4
7280      38        4         36        4
7360      38        4         36        4
7440      68        3         36        4
7520      39        5         66        3
7600      39        4         36        4
7680      39        4         36        5
7760      39        5         36        4
7840      39        4         36        4
7920      39        4         36        4
8000      39        4         36        4
8080      39        4         36        4
8160      69        3         36        4
8240      40        5         67        3
8320      40        4         37        4
8400      40        5         37        5
8480      40        4         37        4
8560      40        4         37        4
8640      40        5         37        5
8720      40        4         37        4
8800      40        4         37        4
8880      40        4         37        4
8960      40        4         68        3
9040      40        4         38        5
9120      40        4         38        5
9200      70        3         38        4
9280      40        5         38        5
9360      40        4         38        4
9440      40        5         38        5
9520      40        4         38        4
9600      40        5         38        4
9680      40        4         38        5
9760      40        4         38        4
9840      40        4         38        4
9920      40        4         38        4
10000     40        4         38        4
10080     40        4         38        4
10160     40        4         68        3
10240     40        4         39        5
10320     40        4         39        4
10400     40        4         39        5
10480     71        3         39        5
10560     41        4         39        4
10640     41        5         39        5
10720     41        5         39        4
10800     41        4         39        5
10880     41        5         39        4
10960     41        4         39        4
11040     41        4         39        5
11120     41        5         39        4
11200     41        4         39        4
11280     41        4         39        4
11360     41        4         39        5
11440     41        5         39        4
11520     41        4         39        4
11600     41        4         39        4
11680     41        4         39        4
11760     41        4         39        4
11840     41        4         39        4
11920     41        4         39        4
12000     41        4         39        4
12080     41        4         39        4
12160     41        4         39        4
12240     41        4         39        4
12320     41        4         39        4
12400     72        3         69        3
12480     42        5         40        5
12560     42        5         40        5
12640     42        5         40        5
12720     42        4         40        5
12800     42        5         40        5
12880     42        5         40        5
12960     42        4         40        4
13040     42        5         40        5
13120     42        5         40        5
13200     42        4         40        5
13280     42        5         40        4
13360     42        4         40        5
13440     42        5         40        4
13520     42        4         40        5
13600     42        4         40        4
13680     42        5         40        5
13760     42        4         40        4
13840     42        5         40        5
13920     42        4         40        4
14000     42        4         40        5
14080     42        4         40        4
14160     42        5         40        4
14240     42        4         40        5
14320     42        4         40        4
14400     42        5         40        5
14480     42        4         40        4
14560     42        4         40        4
14640     42        4         40        5
14720     42        5         40        4
14800     42        4         40        4
14880     42        4         40        5
14960     42        4         40        4
15040     42        5         40        4
15120     42        4         40        5
15200     42        4         40        4
15280     42        4         40        4
15360     42        5         40        5
15440     42        4         40        4
15520     42        4         40        4
15600     42        4         40        5
15680     42        5         40        4
15760     42        4         40        4
15840     42        4         40        5
15920     42        4         40        4
16000     42        5         40        4
16080     42        4         40        5
16160     42        4         40        4
16240     42        4         40        4
16320     42        4         40        4
16400     42        5         40        5
16480     42        4         40        4
16560     42        4         40        4
16640     42        5         40        5
16720     42        4         40        4
16800     42        4         40        4
16880     42        4         40        5
16960     42        5         40        4
17040     42        4         40        4
17120     42        4         40        5
17200     42        4         40        4
17280     42        5         40        4
17360     42        4         40        4
17440     42        4         40        5
17520     42        4         40        4
17600     42        5         40        4
17680     42        4         40        5
17760     42        4         40        4
17840     42        4         40        4
17920     42        5         40        5
18000     42        4         40        4
18080     42        4         40        4
18160     42        4         40        5
18240     42        5         40        4
18320     42        4         40        4
18400     42        4         40        5
18480     42        5         40        4
18560     42        4         40        4
18640     42        4         40        5
18720     42        4         40        4
18800     42        5         40        4
18880     42        4         40        5
18960     42        4         40        4
19040     42        4         40        4
19120     42        5         40        5
19200     42        4         40        4
19280     42        4         40        4
19360     42        5         40        5
19440     42        4         40        4
19520     42        4         40        4
19600     42        4         40        5
19680     42        5         40        4
19760     42        4         40        4
19840     42        4         40        5
19920     42        5         40        4
