x         y1        y2        y3        y4
0         60        0         60        0
4         60        0         60        0
8         60        0         60        0
12        60        0         60        0
16        60        0         60        0
20        60        0         60        0
24        60        0         60        0
28        60        0         60        0
32        60        0         60        0
36        60        0         60        0
40        60        0         60        0
44        60        0         60        0
48        61        0         61        0
52        61        0         0         1
56        61        0         60        0
60        61        0         60        0
64        61        0         60        0
68        61        0         61        0
72        61        0         61        0
76        0         1         61        0
80        61        0         61        0
84        61        0         61        0
88        61        0         61        0
92        61        0         61        0
96        61        0         61        0
100       61        0         61        0
104       61        0         61        0
108       61        0         61        0
112       61        0         0         1
116       62        0         61        0
120       62        0         61        0
124       62        0         61        0
128       62        0         61        0
132       62        0         61        0
136       62        0         62        0
140       62        0         62        0
144       0         1         62        0
148       62        0         62        0
152       62        0         0         1
156       62        0         62        0
160       62        0         62        0
164       62        0         62        0
168       62        0         62        0
172       62        0         62        0
176       62        0         62        0
180       62        0         62        0
184       62        0         62        0
188       0         1         0         1
192       62        0         62        0
196       62        0         62        0
200       62        0         62        0
204       62        0         62        0
208       63        0         62        0
212       63        0         62        0
216       63        0         0         1
220       63        0         62        0
224       63        0         62        0
228       0         1         62        0
232       63        0         62        0
236       63        0         62        0
240       63        0         62        0
244       63        0         0         1
248       63        0         62        0
252       63        0         62        0
256       63        0         62        0
260       0         1         62        0
264       63        0         62        0
268       63        0         0         1
272       63        0         62        0
276       63        0         62        0
280       63        0         62        0
284       63        0         62        0
288       0         1         63        0
292       63        0         0         1
296       63        0         62        0
300       63        0         62        0
304       63        0         62        0
308       63        0         63        0
312       63        0         63        0
316       0         1         0         1
320       63        0         62        0
324       63        0         62        0
328       63        0         63        0
332       63        0         63        0
336       64        0         0         1
340       64        0         62        0
344       0         1         62        0
348       63        0         63        0
352       63        0         63        0
356       64        0         0         1
360       64        0         62        0
364       64        0         62        0
368       0         1         63        0
372       63        0         63        0
376       64        0         0         1
380       64        0         62        0
384       64        0         62        0
388       0         1         63        0
392       63        0         63        0
396       64        0         0         1
400       64        0         62        0
404       64        0         62        0
408       64        0         63        0
412       0         0         63        0
416       64        1         0         1
420       64        0         62        0
424       64        0         62        0
428       64        0         63        0
432       0         1         0         1
436       64        0         62        0
440       64        0         62        0
444       64        0         62        0
448       64        0         63        0
452       0         1         0         1
456       64        0         62        0
460       64        0         62        0
464       64        0         62        0
468       64        1         0         1
472       64        0         62        0
476       0         0         62        0
480       64        0         62        0
484       64        0         62        0
488       64        1         0         1
492       0         0         62        0
496       64        0         62        0
500       64        0         62        0
504       64        1         0         1
508       64        0         62        0
512       0         0         62        0
516       64        0         62        0
520       64        1         0         1
524       64        0         62        0
528       64        0         62        0
532       0         0         62        0
536       64        1         0         1
540       64        0         62        0
544       64        0         62        0
548       64        0         62        0
552       0         1         0         1
556       64        0         62        0
560       64        0         62        0
564       64        0         62        0
568       0         0         62        0
572       63        1         0         1
576       64        0         62        0
580       64        0         62        0
584       64        0         62        0
588       0         1         0         1
592       63        0         62        0
596       64        0         62        0
600       64        0         62        0
604       0         1         0         1
608       63        0         62        0
612       63        0         62        0
616       64        0         62        0
620       0         1         0         1
624       63        0         62        0
628       63        0         62        0
632       63        0         62        0
636       64        1         0         1
640       0         0         62        0
644       63        0         62        0
648       63        0         62        0
652       63        1         0         1
656       0         0         62        0
660       63        0         62        0
664       63        0         62        0
668       63        1         0         1
672       0         0         61        0
676       63        0         62        0
680       63        0         62        0
684       63        1         0         1
688       0         0         61        0
692       63        0         61        0
696       63        0         62        0
700       63        1         0         1
704       0         0         61        0
708       63        0         61        0
712       63        1         0         1
716       63        0         61        0
720       63        0         61        0
724       0         0         61        0
728       63        1         0         1
732       63        0         61        0
736       63        0         61        0
740       0         0         61        0
744       63        1         0         1
748       63        0         61        0
752       63        0         61        0
756       0         0         61        0
760       63        1         0         1
764       63        0         61        0
768       63        0         61        0
772       0         1         0         1
776       63        0         61        0
780       63        0         61        0
784       63        0         61        0
788       0         1         0         1
792       63        0         61        0
796       63        0         61        0
800       63        0         61        0
804       0         1         0         1
808       63        0         61        0
812       63        0         61        0
816       63        0         61        0
820       0         1         0         1
824       62        0         60        0
828       63        0         61        0
832       63        1         0         1
836       0         0         60        0
840       62        0         60        0
844       62        0         60        0
848       63        1         0         1
852       0         0         60        0
856       62        0         60        0
860       62        1         0         1
864       0         0         60        0
868       62        0         60        0
872       62        0         60        0
876       62        1         0         1
880       0         0         60        0
884       62        0         60        0
888       62        0         60        0
892       62        1         0         1
896       0         0         60        0
900       62        0         60        0
904       62        1         0         1
908       62        0         60        0
912       0         0         60        0
916       62        0         60        0
920       62        1         0         1
924       62        0         60        0
928       0         0         60        0
932       62        0         60        0
936       62        1         0         1
940       62        0         60        0
944       0         0         60        0
948       62        1         0         1
952       62        0         59        0
956       0         0         60        0
960       62        0         60        0
964       62        1         0         1
968       62        0         59        0
972       0         0         59        0
976       62        1         0         1
980       62        0         59        0
984       62        0         59        0
988       0         0         59        0
992       61        1         0         1
996       62        0         59        0
