x         y1        y2        y3        y4
0         144       0         144       0
80        108       8         108       8
160       56        17        56        19
240       22        21        22        22
320       48        18        48        19
400       48        16        48        17
480       82        15        48        16
560       56        16        48        16
640       56        19        48        16
720       56        18        82        15
800       56        19        56        17
880       56        18        56        19
960       56        18        56        19
1040      56        18        56        19
1120      56        18        56        19
1200      56        18        56        19
1280      56        19        56        19
1360      56        18        56        19
1440      56        18        56        18
1520      56        18        56        19
1600      56        18        56        19
1680      56        18        56        19
1760      56        18        56        19
1840      56        18        56        19
1920      56        18        56        18
2000      56        18        56        19
2080      56        18        56        19
2160      56        18        56        19
2240      56        18        56        19
2320      56        19        56        19
2400      56        18        56        19
2480      56        18        56        18
2560      56        18        56        19
2640      56        18        56        19
2720      56        18        56        19
2800      56        18        56        19
2880      56        19        56        19
2960      56        18        56        19
3040      56        18        56        19
3120      56        18        56        19
3200      56        18        56        19
3280      56        19        56        19
3360      56        18        56        19
3440      56        18        56        19
3520      56        19        56        19
3600      56        18        22        20
3680      56        18        48        17
3760      56        19        82        15
3840      56        18        56        17
3920      56        18        22        20
4000      56        19        48        17
4080      56        18        82        15
4160      56        19        56        17
4240      56        18        56        19
4320      56        19        56        19
4400      56        18        22        20
4480      56        18        48        17
4560      56        19        82        15
4640      56        19        56        17
4720      56        18        22        20
4800      56        19        48        17
4880      56        18        48        16
4960      56        19        82        15
5040      56        18        56        17
5120      56        19        56        19
5200      56        18        22        20
5280      56        19        48        17
5360      56        19        82        15
5440      56        18        56        18
5520      56        19        56        19
5600      56        18        56        19
5680      56        19        56        19
5760      56        19        22        20
5840      56        18        48        17
5920      56        19        82        15
6000      56        18        56        18
6080      56        19        56        19
6160      56        19        22        20
6240      56        18        48        17
6320      56        19        82        15
6400      56        18        56        18
6480      56        19        56        19
6560      56        19        22        20
6640      56        18        48        17
6720      56        19        48        16
6800      56        19        82        15
6880      56        18        56        18
6960      56        19        56        19
7040      56        19        56        19
7120      56        19        22        20
7200      56        18        48        17
7280      56        19        48        16
7360      56        19        82        15
7440      56        19        56        18
7520      56        18        22        20
7600      56        19        48        18
7680      56        19        82        15
7760      56        19        56        18
7840      56        18        22        20
7920      56        19        48        18
8000      56        19        48        16
8080      56        19        82        15
8160      56        19        56        18
8240      56        19        22        20
8320      56        18        48        17
8400      56        19        48        16
8480      56        19        48        16
8560      56        19        82        15
8640      56        19        56        18
8720      56        19        56        19
8800      56        19        22        20
8880      56        18        48        17
8960      56        19        48        16
9040      56        19        48        16
9120      56        19        82        15
9200      56        19        56        17
9280      56        18        22        20
9360      56        19        48        17
9440      56        19        48        16
9520      56        19        82        15
9600      56        19        56        18
9680      56        19        56        19
9760      56        18        56        19
9840      56        19        22        20
9920      56        19        48        17
10000     56        19        48        16
10080     56        19        82        15
10160     56        19        56        18
10240     56        18        56        19
10320     56        19        56        19
10400     56        19        22        20
10480     56        19        48        17
10560     56        19        48        16
10640     56        19        82        15
10720     56        19        56        18
10800     56        19        56        19
10880     56        18        22        20
10960     56        19        48        17
11040     56        19        48        16
11120     56        19        82        15
11200     56        19        56        17
11280     56        19        22        20
11360     56        19        48        18
11440     56        19        82        15
11520     56        19        56        18
11600     56        19        56        19
11680     56        19        22        20
11760     56        18        48        18
11840     56        19        82        15
11920     56        19        56        18
12000     56        19        22        20
12080     56        19        48        18
12160     56        19        82        15
12240     56        19        56        19
12320     56        19        56        19
12400     56        19        22        20
12480     56        19        48        18
12560     56        19        48        16
12640     56        19        82        15
12720     56        19        56        18
12800     56        19        56        19
12880     56        19        22        20
12960     56        19        48        18
13040     56        19        82        15
13120     56        19        56        18
13200     56        19        22        20
13280     56        19        48        18
13360     56        19        82        15
13440     56        18        56        18
13520     22        20        22        20
13600     48        17        48        18
13680     82        15        48        16
13760     56        16        82        15
13840     56        19        56        18
13920     56        19        22        20
14000     56        19        48        17
14080     56        18        48        16
14160     56        19        82        15
14240     56        19        56        18
14320     56        19        22        20
14400     56        19        48        18
14480     56        19        82        15
14560     56        19        56        18
14640     56        19        22        20
14720     56        19        48        18
14800     56        19        48        16
14880     56        19        82        15
14960     56        19        56        18
15040     56        19        22        20
15120     56        19        48        18
15200     56        19        82        15
15280     56        19        56        18
15360     56        19        22        20
15440     56        19        48        18
15520     56        19        48        16
15600     56        19        82        15
15680     56        19        56        18
15760     56        19        22        20
15840     56        19        48        17
15920     56        19        48        16
16000     56        19        82        15
16080     56        19        56        18
16160     56        19        56        19
16240     56        19        22        20
16320     56        19        48        18
16400     56        19        82        15
16480     56        19        56        18
16560     56        19        56        19
16640     56        19        22        20
16720     56        19        48        18
16800     56        19        82        15
16880     56        19        56        18
16960     56        19        22        20
17040     22        20        48        17
17120     48        17        48        16
17200     82        15        82        15
17280     56        17        56        18
17360     56        19        56        19
17440     56        18        22        20
17520     56        19        48        18
17600     56        19        82        15
17680     56        19        56        18
17760     56        19        56        19
17840     56        19        22        20
17920     56        19        48        18
18000     56        19        48        16
18080     56        19        82        15
18160     56        19        56        18
18240     56        19        56        19
18320     56        19        22        20
18400     56        19        48        18
18480     56        19        48        16
18560     56        19        82        15
18640     22        20        56        18
18720     48        17        22        20
18800     82        15        48        17
18880     56        17        48        16
18960     56        19        48        16
19040     56        18        82        15
19120     56        19        56        17
19200     56        19        22        20
19280     56        19        48        18
19360     56        19        82        15
19440     56        19        56        18
19520     56        19        56        19
19600     56        19        22        20
19680     56        19        48        17
19760     56        19        48        16
19840     56        19        82        15
19920     56        19        56        18
