x         y1        y2        y3        y4
0         125       0         120       0
80        126       1         121       1
160       126       1         121       2
240       127       2         92        4
320       128       2         92        4
400       128       3         93        4
480       129       3         93        5
560       99        4         94        6
640       100       4         94        6
720       100       4         95        6
800       101       4         95        6
880       101       5         96        7
960       102       4         96        6
1040      102       4         97        6
1120      103       4         97        6
1200      103       5         98        7
1280      104       4         98        6
1360      104       4         99        6
1440      105       5         99        7
1520      105       5         100       6
1600      106       4         100       7
1680      106       5         100       7
1760      107       5         101       7
1840      107       5         101       6
1920      108       5         102       7
2000      108       5         102       7
2080      109       5         103       7
2160      109       5         73        8
2240      109       5         104       7
2320      110       5         104       7
2400      110       6         105       7
2480      111       5         105       7
2560      111       6         76        8
2640      112       5         106       7
2720      112       6         76        8
2800      113       5         107       7
2880      113       6         107       7
2960      114       6         108       7
3040      114       6         78        8
3120      115       6         78        8
3200      115       6         109       7
3280      116       6         79        8
3360      116       6         110       7
3440      117       6         80        8
3520      117       7         80        8
3600      118       6         111       7
3680      118       7         81        8
3760      119       7         112       7
3840      119       6         82        8
3920      120       7         82        8
4000      120       7         83        8
4080      121       7         113       7
4160      121       7         83        8
4240      91        8         84        8
4320      122       7         84        8
4400      122       7         114       7
4480      123       7         85        8
4560      93        8         85        8
4640      124       7         85        8
4720      124       7         116       7
4800      94        8         86        8
4880      95        11        117       7
4960      65        15        87        11
5040      65        15        57        14
5120      65        15        57        15
5200      65        15        58        13
5280      66        14        88        10
5360      126       4         118       6
5440      157       3         149       3
5520      127       5         119       5
5600      128       6         120       6
5680      128       7         120       7
5760      98        8         91        8
5840      129       7         91        8
5920      99        8         91        8
6000      100       8         92        8
6080      100       8         92        8
6160      100       8         92        8
6240      101       8         93        8
6320      101       8         93        8
6400      101       8         93        8
6480      132       7         94        8
6560      102       8         124       7
6640      102       9         94        9
6720      103       8         95        9
6800      103       8         95        8
6880      103       9         95        9
6960      104       8         96        8
7040      104       8         96        9
7120      104       8         96        8
7200      105       8         97        8
7280      105       8         97        9
7360      105       8         97        8
7440      105       8         98        8
7520      106       8         98        9
7600      106       8         98        9
7680      106       9         99        8
7760      107       8         99        9
7840      107       8         99        9
7920      107       9         100       9
