x         y1        y2        y3        y4        y5
0         7.10       0.00      7.10      0.00     4
80        12.16      0.00      12.16     0.00     4
160       17.28      0.00      17.28     0.00     4
240       22.40      0.00      22.40     0.00     4
320       27.52      0.00      27.52     0.00     4
400       32.64      0.00      32.64     0.00     4
480       37.76      0.00      37.76     0.00     4
560       42.88      0.00      42.88     0.00     4
640       48.00      0.00      48.00     0.00     4
720       53.12      0.00      53.12     0.00     4
800       58.24      0.00      58.24     0.00     4
880       63.36      0.00      63.36     0.00     4
960       68.48      0.00      68.48     0.00     4
1040      73.60      0.00      73.60     0.00     4
1120      78.72      0.00      78.72     0.00     4
1200      83.84      0.00      83.84     0.00     4
1280      88.96      0.00      88.96     0.00     4
1360      94.08      0.00      94.08     0.00     4
1440      99.20      0.00      99.20     0.00     4
1520      104.32     0.00      104.32    0.00     4
1600      109.44     0.00      109.44    0.00     4
1680      114.56     0.00      114.56    0.00     4
1760      119.68     0.00      119.68    0.00     4
1840      124.80     0.00      124.80    0.00     4
1920      129.92     0.00      129.92    0.00     4
2000      135.04     0.00      133.57    1.00     4
2080      140.16     0.00      137.44    1.00     4
2160      145.28     0.00      139.81    2.00     4
2240      148.93     1.00      142.40    2.00     4
2320      152.80     1.00      143.49    3.00     4
2400      156.64     1.00      144.80    3.00     4
2480      160.48     1.00      146.08    3.00     4
2560      162.85     2.00      145.89    4.00     4
2640      165.44     2.00      145.92    4.00     4
2720      168.00     2.00      144.45    5.00     4
2800      170.56     2.00      143.20    5.00     4
2880      173.12     2.00      141.92    5.00     4
2960      174.21     3.00      140.64    5.00     4
3040      174.05     4.00      140.83    4.00     4
3120      174.08     4.00      142.27    3.00     4
3200      175.55     3.00      144.99    2.00     4
3280      178.27     2.00      147.52    2.00     4
3360      182.27     1.00      150.08    2.00     4
3440      187.55     0.00      152.64    2.00     4
3520      192.64     0.00      155.20    2.00     4
3600      197.76     0.00      156.29    3.00     4
3680      201.41     1.00      157.60    3.00     4
3760      205.28     1.00      158.88    3.00     4
3840      209.12     1.00      158.69    4.00     4
3920      211.49     2.00      158.72    4.00     4
4000      214.08     2.00      158.72    4.00     4
4080      215.17     3.00      157.25    5.00     4
4160      215.01     4.00      157.47    4.00     4
4240      213.57     5.00      157.44    4.00     4
4320      210.85     6.00      157.44    4.00     4
4400      208.32     6.00      158.91    3.00     4
4480      207.23     5.00      161.63    2.00     4
4560      207.39     4.00      164.16    2.00     4
4640      208.83     3.00      166.72    2.00     4
4720      211.55     2.00      169.28    2.00     4
4800      215.55     1.00      171.84    2.00     4
4880      219.36     1.00      172.93    3.00     4
4960      223.20     1.00      172.77    4.00     4
5040      225.57     2.00      172.80    4.00     4
5120      228.16     2.00      172.80    4.00     4
5200      229.25     3.00      171.33    5.00     4
5280      229.09     4.00      170.08    5.00     4
5360      227.65     5.00      168.80    5.00     4
5440      224.93     6.00      168.99    4.00     4
5520      220.93     7.00      170.43    3.00     4
5600      217.12     7.00      171.68    3.00     4
5680      216.22     5.00      174.43    2.00     4
5760      216.35     4.00      176.96    2.00     4
5840      217.79     3.00      179.52    2.00     4
5920      220.51     2.00      182.08    2.00     4
6000      224.51     1.00      183.17    3.00     4
6080      228.32     1.00      183.01    4.00     4
6160      230.69     2.00      183.04    4.00     4
6240      233.28     2.00      181.57    5.00     4
6320      234.37     3.00      180.32    5.00     4
6400      232.74     5.00      179.04    5.00     4
6480      230.05     6.00      177.76    5.00     4
6560      226.05     7.00      177.95    4.00     4
6640      222.24     7.00      179.39    3.00     4
6720      218.40     7.00      180.64    3.00     4
6800      217.50     5.00      183.39    2.00     4
6880      217.63     4.00      185.92    2.00     4
6960      219.07     3.00      188.48    2.00     4
7040      221.79     2.00      191.04    2.00     4
7120      224.32     2.00      192.13    3.00     4
7200      228.35     1.00      191.97    4.00     4
7280      230.69     2.00      192.00    4.00     4
7360      233.28     2.00      190.53    5.00     4
7440      232.90     4.00      189.28    5.00     4
7520      230.02     6.00      188.00    5.00     4
7600      226.05     7.00      188.19    4.00     4
7680      222.24     7.00      189.63    3.00     4
7760      219.87     6.00      190.88    3.00     4
7840      218.75     5.00      193.63    2.00     4
7920      218.91     4.00      196.16    2.00     4
