x         y1        y2        y3        y4        y5
0         9.10       0.00      2.10      0.00     4
80        14.16      0.00      7.16      0.00     4
160       19.28      0.00      12.28     0.00     4
240       24.40      0.00      17.40     0.00     4
320       29.52      0.00      22.52     0.00     4
400       34.64      0.00      27.64     0.00     4
480       39.76      0.00      32.76     0.00     4
560       44.88      0.00      37.88     0.00     4
640       50.00      0.00      43.00     0.00     4
720       55.12      0.00      48.12     0.00     4
800       60.24      0.00      53.24     0.00     4
880       65.36      0.00      58.36     0.00     4
960       70.48      0.00      63.48     0.00     4
1040      75.60      0.00      68.60     0.00     4
1120      80.72      0.00      73.72     0.00     4
1200      85.84      0.00      78.84     0.00     4
1280      90.96      0.00      83.96     0.00     4
1360      96.08      0.00      89.08     0.00     4
1440      101.20     0.00      94.20     0.00     4
1520      106.32     0.00      99.32     0.00     4
1600      111.44     0.00      104.44    0.00     4
1680      116.56     0.00      109.56    0.00     4
1760      120.21     1.00      114.68    0.00     4
1840      124.08     1.00      118.33    1.00     4
1920      127.92     1.00      122.20    1.00     4
2000      130.29     2.00      126.04    1.00     4
2080      132.88     2.00      128.41    2.00     4
2160      135.44     2.00      131.00    2.00     4
2240      136.53     3.00      133.56    2.00     4
2320      137.84     3.00      134.65    3.00     4
2400      139.12     3.00      135.96    3.00     4
2480      138.93     4.00      137.24    3.00     4
2560      138.96     4.00      137.05    4.00     4
2640      138.96     4.00      137.08    4.00     4
2720      138.96     4.00      137.08    4.00     4
2800      137.49     5.00      135.61    5.00     4
2880      136.24     5.00      134.36    5.00     4
2960      134.96     5.00      133.08    5.00     4
3040      133.68     5.00      131.80    5.00     4
3120      130.93     6.00      130.52    5.00     4
3200      128.40     6.00      129.24    5.00     4
3280      125.84     6.00      127.96    5.00     4
3360      123.28     6.00      125.21    6.00     4
3440      120.72     6.00      124.15    5.00     4
3520      118.16     6.00      121.37    6.00     4
3600      115.60     6.00      120.31    5.00     4
3680      113.04     6.00      117.53    6.00     4
3760      110.48     6.00      116.47    5.00     4
3840      107.92     6.00      115.16    5.00     4
3920      105.36     6.00      113.88    5.00     4
4000      101.33     7.00      112.60    5.00     4
4080      98.99      6.00      112.79    4.00     4
4160      96.40      6.00      112.76    4.00     4
4240      93.84      6.00      112.76    4.00     4
4320      92.75      5.00      112.76    4.00     4
4400      92.91      4.00      112.76    4.00     4
4480      95.82      2.00      114.23    3.00     4
4560      99.79      1.00      118.42    1.00     4
4640      103.60     1.00      123.67    0.00     4
4720      108.91     0.00      128.76    0.00     4
4800      114.00     0.00      133.88    0.00     4
4880      117.65     1.00      139.00    0.00     4
4960      121.52     1.00      144.12    0.00     4
5040      125.36     1.00      149.24    0.00     4
5120      129.20     1.00      152.89    1.00     4
5200      131.57     2.00      156.76    1.00     4
5280      134.16     2.00      159.13    2.00     4
5360      135.25     3.00      161.72    2.00     4
5440      136.56     3.00      162.81    3.00     4
5520      137.84     3.00      164.12    3.00     4
5600      137.65     4.00      163.93    4.00     4
5680      137.68     4.00      163.96    4.00     4
5760      137.68     4.00      162.49    5.00     4
5840      137.68     4.00      161.24    5.00     4
5920      142.09     1.00      164.37    2.00     4
6000      147.31     0.00      169.78    0.00     4
6080      150.93     1.00      173.37    1.00     4
6160      153.33     2.00      177.24    1.00     4
6240      155.92     2.00      179.61    2.00     4
6320      157.01     3.00      180.73    3.00     4
6400      158.32     3.00      182.04    3.00     4
6480      158.13     4.00      181.85    4.00     4
6560      158.16     4.00      180.41    5.00     4
6640      158.16     4.00      179.16    5.00     4
6720      158.16     4.00      176.41    6.00     4
6800      156.69     5.00      172.41    7.00     4
6880      155.44     5.00      168.60    7.00     4
6960      154.16     5.00      164.76    7.00     4
7040      151.41     6.00      162.39    6.00     4
7120      148.88     6.00      162.74    4.00     4
7200      147.79     5.00      162.68    4.00     4
7280      149.42     3.00      161.21    5.00     4
7360      155.05     0.00      161.43    4.00     4
7440      160.08     0.00      162.87    3.00     4
7520      165.20     0.00      164.12    3.00     4
7600      170.32     0.00      163.93    4.00     4
7680      173.97     1.00      163.96    4.00     4
7760      177.84     1.00      163.96    4.00     4
7840      180.21     2.00      163.96    4.00     4
7920      181.33     3.00      163.96    4.00     4
